Number Threads,Number Samples,Number Dimensions,Number Clusters,Spread,Seed,Run Time (s),Did Reach Convergence?,Iteration Count,Max Centroid Difference
1,1000000,25,50,3.5,1234,155.631,yes,250,0
1,1000000,25,50,3.5,1234,155.99,yes,250,0
1,1000000,25,50,3.5,1234,156.259,yes,250,0
1,1000000,25,50,3.5,1234,156.592,yes,250,0
1,1000000,25,50,3.5,1234,156.572,yes,250,0
1,1000000,25,50,3.5,1234,156.848,yes,250,0
1,1000000,25,50,3.5,1234,156.259,yes,250,0
1,1000000,25,50,3.5,1234,156.888,yes,250,0
1,1000000,25,50,3.5,1234,157.133,yes,250,0
1,1000000,25,50,3.5,1234,156.344,yes,250,0
2,1000000,25,50,3.5,1234,79.841,yes,250,0
2,1000000,25,50,3.5,1234,79.367,yes,250,0
2,1000000,25,50,3.5,1234,79.4075,yes,250,0
2,1000000,25,50,3.5,1234,78.8627,yes,250,0
2,1000000,25,50,3.5,1234,79.4214,yes,250,0
2,1000000,25,50,3.5,1234,79.275,yes,250,0
2,1000000,25,50,3.5,1234,79.2878,yes,250,0
2,1000000,25,50,3.5,1234,79.6011,yes,250,0
2,1000000,25,50,3.5,1234,79.2993,yes,250,0
2,1000000,25,50,3.5,1234,79.255,yes,250,0
3,1000000,25,50,3.5,1234,52.8607,yes,250,0
3,1000000,25,50,3.5,1234,52.7031,yes,250,0
3,1000000,25,50,3.5,1234,52.7003,yes,250,0
3,1000000,25,50,3.5,1234,52.625,yes,250,0
3,1000000,25,50,3.5,1234,52.7742,yes,250,0
3,1000000,25,50,3.5,1234,52.7775,yes,250,0
3,1000000,25,50,3.5,1234,52.5053,yes,250,0
3,1000000,25,50,3.5,1234,52.8572,yes,250,0
3,1000000,25,50,3.5,1234,52.7822,yes,250,0
3,1000000,25,50,3.5,1234,52.6149,yes,250,0
4,1000000,25,50,3.5,1234,39.6706,yes,250,0
4,1000000,25,50,3.5,1234,39.6957,yes,250,0
4,1000000,25,50,3.5,1234,39.8341,yes,250,0
4,1000000,25,50,3.5,1234,39.6604,yes,250,0
4,1000000,25,50,3.5,1234,39.7463,yes,250,0
4,1000000,25,50,3.5,1234,39.6399,yes,250,0
4,1000000,25,50,3.5,1234,39.7094,yes,250,0
4,1000000,25,50,3.5,1234,39.8004,yes,250,0
4,1000000,25,50,3.5,1234,39.6808,yes,250,0
4,1000000,25,50,3.5,1234,39.6767,yes,250,0
5,1000000,25,50,3.5,1234,31.8423,yes,250,0
5,1000000,25,50,3.5,1234,32.0941,yes,250,0
5,1000000,25,50,3.5,1234,31.7213,yes,250,0
5,1000000,25,50,3.5,1234,31.7293,yes,250,0
5,1000000,25,50,3.5,1234,31.88,yes,250,0
5,1000000,25,50,3.5,1234,31.6745,yes,250,0
5,1000000,25,50,3.5,1234,31.669,yes,250,0
5,1000000,25,50,3.5,1234,31.569,yes,250,0
5,1000000,25,50,3.5,1234,31.6656,yes,250,0
5,1000000,25,50,3.5,1234,31.7671,yes,250,0
6,1000000,25,50,3.5,1234,26.7072,yes,250,0
6,1000000,25,50,3.5,1234,27.1018,yes,250,0
6,1000000,25,50,3.5,1234,26.8679,yes,250,0
6,1000000,25,50,3.5,1234,26.5409,yes,250,0
6,1000000,25,50,3.5,1234,26.6126,yes,250,0
6,1000000,25,50,3.5,1234,26.3969,yes,250,0
6,1000000,25,50,3.5,1234,26.4817,yes,250,0
6,1000000,25,50,3.5,1234,26.3539,yes,250,0
6,1000000,25,50,3.5,1234,26.3907,yes,250,0
6,1000000,25,50,3.5,1234,26.5062,yes,250,0
7,1000000,25,50,3.5,1234,22.9321,yes,250,0
7,1000000,25,50,3.5,1234,22.9761,yes,250,0
7,1000000,25,50,3.5,1234,22.9929,yes,250,0
7,1000000,25,50,3.5,1234,22.9783,yes,250,0
7,1000000,25,50,3.5,1234,22.8245,yes,250,0
7,1000000,25,50,3.5,1234,22.6451,yes,250,0
7,1000000,25,50,3.5,1234,22.6271,yes,250,0
7,1000000,25,50,3.5,1234,22.7774,yes,250,0
7,1000000,25,50,3.5,1234,22.6433,yes,250,0
7,1000000,25,50,3.5,1234,22.6893,yes,250,0
8,1000000,25,50,3.5,1234,20.2434,yes,250,0
8,1000000,25,50,3.5,1234,20.2721,yes,250,0
8,1000000,25,50,3.5,1234,20.1221,yes,250,0
8,1000000,25,50,3.5,1234,19.8417,yes,250,0
8,1000000,25,50,3.5,1234,19.9263,yes,250,0
8,1000000,25,50,3.5,1234,19.8836,yes,250,0
8,1000000,25,50,3.5,1234,19.8918,yes,250,0
8,1000000,25,50,3.5,1234,19.8859,yes,250,0
8,1000000,25,50,3.5,1234,19.8677,yes,250,0
8,1000000,25,50,3.5,1234,19.8669,yes,250,0
9,1000000,25,50,3.5,1234,17.8513,yes,250,0
9,1000000,25,50,3.5,1234,17.9406,yes,250,0
9,1000000,25,50,3.5,1234,17.9581,yes,250,0
9,1000000,25,50,3.5,1234,17.949,yes,250,0
9,1000000,25,50,3.5,1234,17.9369,yes,250,0
9,1000000,25,50,3.5,1234,17.6942,yes,250,0
9,1000000,25,50,3.5,1234,17.6304,yes,250,0
9,1000000,25,50,3.5,1234,17.678,yes,250,0
9,1000000,25,50,3.5,1234,17.5837,yes,250,0
9,1000000,25,50,3.5,1234,17.6887,yes,250,0
10,1000000,25,50,3.5,1234,16.5675,yes,250,0
10,1000000,25,50,3.5,1234,16.0402,yes,250,0
10,1000000,25,50,3.5,1234,16.1703,yes,250,0
10,1000000,25,50,3.5,1234,16.1313,yes,250,0
10,1000000,25,50,3.5,1234,16.1342,yes,250,0
10,1000000,25,50,3.5,1234,15.8773,yes,250,0
10,1000000,25,50,3.5,1234,15.9189,yes,250,0
10,1000000,25,50,3.5,1234,15.9487,yes,250,0
10,1000000,25,50,3.5,1234,15.8654,yes,250,0
10,1000000,25,50,3.5,1234,15.9116,yes,250,0
