Number Processes,Number Samples,Number Dimensions,Number Clusters,Spread,Seed,Run Time (s),Did Reach Convergence?,Iteration Count,Max Centroid Difference
1,1000000,25,50,3.5,1234,150.324,yes,250,0
1,1000000,25,50,3.5,1234,149.384,yes,250,0
1,1000000,25,50,3.5,1234,147.081,yes,250,0
1,1000000,25,50,3.5,1234,147.1,yes,250,0
1,1000000,25,50,3.5,1234,147.178,yes,250,0
1,1000000,25,50,3.5,1234,147.104,yes,250,0
1,1000000,25,50,3.5,1234,147.236,yes,250,0
1,1000000,25,50,3.5,1234,147.264,yes,250,0
1,1000000,25,50,3.5,1234,147.127,yes,250,0
1,1000000,25,50,3.5,1234,147.155,yes,250,0
2,1000000,25,50,3.5,1234,75.3997,yes,250,0
2,1000000,25,50,3.5,1234,75.1108,yes,250,0
2,1000000,25,50,3.5,1234,75.2723,yes,250,0
2,1000000,25,50,3.5,1234,74.9588,yes,250,0
2,1000000,25,50,3.5,1234,75.1326,yes,250,0
2,1000000,25,50,3.5,1234,74.9153,yes,250,0
2,1000000,25,50,3.5,1234,75.4399,yes,250,0
2,1000000,25,50,3.5,1234,75.437,yes,250,0
2,1000000,25,50,3.5,1234,75.367,yes,250,0
2,1000000,25,50,3.5,1234,74.8342,yes,250,0
3,1000000,25,50,3.5,1234,50.8846,yes,250,0
3,1000000,25,50,3.5,1234,50.2044,yes,250,0
3,1000000,25,50,3.5,1234,50.2518,yes,250,0
3,1000000,25,50,3.5,1234,50.3049,yes,250,0
3,1000000,25,50,3.5,1234,50.0775,yes,250,0
3,1000000,25,50,3.5,1234,50.1603,yes,250,0
3,1000000,25,50,3.5,1234,50.159,yes,250,0
3,1000000,25,50,3.5,1234,50.1796,yes,250,0
3,1000000,25,50,3.5,1234,50.0326,yes,250,0
3,1000000,25,50,3.5,1234,50.2359,yes,250,0
4,1000000,25,50,3.5,1234,37.9243,yes,250,0
4,1000000,25,50,3.5,1234,37.7765,yes,250,0
4,1000000,25,50,3.5,1234,37.7857,yes,250,0
4,1000000,25,50,3.5,1234,37.6274,yes,250,0
4,1000000,25,50,3.5,1234,37.6745,yes,250,0
4,1000000,25,50,3.5,1234,37.8457,yes,250,0
4,1000000,25,50,3.5,1234,37.8742,yes,250,0
4,1000000,25,50,3.5,1234,37.8673,yes,250,0
4,1000000,25,50,3.5,1234,38.04,yes,250,0
4,1000000,25,50,3.5,1234,37.7425,yes,250,0
5,1000000,25,50,3.5,1234,30.2173,yes,250,0
5,1000000,25,50,3.5,1234,30.2512,yes,250,0
5,1000000,25,50,3.5,1234,30.1832,yes,250,0
5,1000000,25,50,3.5,1234,30.179,yes,250,0
5,1000000,25,50,3.5,1234,30.4781,yes,250,0
